rpm,T/Nm,P/W
0.0,51.0,0.0
18.01801801801802,51.0,96.22896416401169
36.03603603603604,51.0,192.45792832802337
54.054054054054056,51.0,288.68689249203504
72.07207207207207,51.0,384.91585665604674
90.0900900900901,51.0,481.14482082005844
108.10810810810811,51.0,577.3737849840701
126.12612612612614,51.0,673.6027491480818
144.14414414414415,51.0,769.8317133120935
162.1621621621622,51.0,866.0606774761053
180.1801801801802,51.0,962.2896416401169
198.19819819819818,51.0,1058.5186058041286
216.21621621621622,51.0,1154.7475699681402
234.23423423423426,51.0,1250.976534132152
252.25225225225228,51.0,1347.2054982961636
270.27027027027026,51.0,1443.4344624601752
288.2882882882883,51.0,1539.663426624187
306.30630630630634,51.0,1635.8923907881988
324.3243243243244,51.0,1732.1213549522106
342.34234234234236,51.0,1828.350319116222
360.3603603603604,51.0,1924.5792832802338
378.37837837837844,51.0,2020.8082474442456
396.39639639639637,51.0,2117.037211608257
414.4144144144144,51.0,2213.2661757722685
432.43243243243245,51.0,2309.4951399362803
450.4504504504505,51.0,2405.724104100292
468.46846846846853,51.0,2501.953068264304
486.48648648648646,51.0,2598.1820324283153
504.50450450450455,51.0,2694.410996592327
522.5225225225225,51.0,2790.639960756339
540.5405405405405,51.0,2886.8689249203503
558.5585585585586,51.0,2983.097889084362
576.5765765765766,51.0,3079.326853248374
594.5945945945947,51.0,3175.5558174123857
612.6126126126127,51.0,3271.7847815763976
630.6306306306307,51.0,3368.013745740409
648.6486486486488,51.0,3464.242709904421
666.6666666666666,51.0,3560.4716740684325
684.6846846846847,51.0,3656.700638232444
702.7027027027028,51.0,3752.929602396456
720.7207207207208,51.0,3849.1585665604675
738.7387387387387,51.0,3945.387530724479
756.7567567567569,51.0,4041.616494888491
774.7747747747749,51.0,4137.8454590525025
792.7927927927927,51.0,4234.074423216514
810.8108108108108,51.0,4330.303387380526
828.8288288288288,51.0,4426.532351544537
846.846846846847,51.0,4522.76131570855
864.8648648648649,51.0,4618.990279872561
882.8828828828829,51.0,4715.2192440365725
900.900900900901,51.0,4811.448208200584
918.9189189189191,51.0,4907.677172364596
936.9369369369371,51.0,5003.906136528608
954.954954954955,51.0,5100.13510069262
972.9729729729729,51.0,5196.364064856631
990.990990990991,51.0,5292.593029020643
1009.0090090090091,51.0,5388.821993184654
1027.027027027027,51.0,5485.050957348666
1045.045045045045,51.0,5581.279921512678
1063.063063063063,51.0,5677.50888567669
1081.081081081081,51.0,5773.737849840701
1099.0990990990992,51.0,5869.966814004713
1117.1171171171172,51.0,5966.195778168724
1135.1351351351352,51.0,6062.424742332737
1153.1531531531532,51.0,6158.653706496748
1171.1711711711712,51.0,6254.88267066076
1189.1891891891894,51.0,6351.1116348247715
1207.2072072072071,51.0,6447.340598988783
1225.2252252252254,51.0,6543.569563152795
1243.2432432432433,51.0,6639.798527316807
1261.2612612612613,51.0,6736.027491480818
1279.2792792792793,51.0,6832.25645564483
1297.2972972972975,51.0,6928.485419808842
1315.3153153153155,51.0,7024.714383972853
1333.3333333333333,51.0,7120.943348136865
1351.3513513513515,51.0,7217.172312300876
1369.3693693693695,51.0,7313.401276464888
1387.3873873873872,51.0,7409.6302406289
1405.4054054054056,51.0,7505.859204792912
1423.4234234234234,51.0,7602.088168956923
1441.4414414414416,51.0,7698.317133120935
1459.4594594594596,51.0,7794.546097284946
1477.4774774774774,51.0,7890.775061448958
1495.4954954954958,51.0,7987.0040256129705
1513.5135135135138,51.0,8083.232989776982
1531.5315315315315,51.0,8179.461953940993
1549.5495495495497,51.0,8275.690918105005
1567.5675675675675,51.0,8371.919882269016
1585.5855855855855,51.0,8468.148846433029
1603.603603603604,51.0,8564.377810597041
1621.6216216216217,51.0,8660.606774761052
1639.6396396396399,51.0,8756.835738925063
1657.6576576576576,51.0,8853.064703089074
1675.6756756756756,51.0,8949.293667253087
1693.693693693694,51.0,9045.5226314171
1711.7117117117118,51.0,9141.75159558111
1729.7297297297298,51.0,9237.980559745121
1747.7477477477476,51.0,9334.209523909134
1765.7657657657658,51.0,9430.438488073145
1783.7837837837842,51.0,9526.667452237158
1801.801801801802,51.0,9622.896416401169
1819.81981981982,51.0,9719.125380565181
1837.8378378378382,51.0,9815.354344729192
1855.855855855856,51.0,9911.583308893203
1873.8738738738741,51.0,10007.812273057216
1891.891891891892,51.0,10104.041237221227
1909.90990990991,51.0,10200.27020138524
1927.927927927928,51.0,10296.49916554925
1945.9459459459458,51.0,10392.728129713261
1963.963963963964,51.0,10488.957093877274
1981.981981981982,51.0,10585.186058041287
2000.0000000000002,51.0,10681.415022205298
2018.0180180180182,51.0,10777.643986369309
2036.036036036036,51.0,10873.872950533321
2054.054054054054,51.0,10970.101914697332
2072.0720720720724,51.0,11066.330878861345
2090.09009009009,51.0,11162.559843025356
2108.1081081081084,51.0,11258.788807189367
2126.126126126126,51.0,11355.01777135338
2144.1441441441443,51.0,11451.24673551739
2162.162162162162,51.0,11547.475699681401
2180.1801801801803,51.0,11643.704663845414
2198.1981981981985,51.0,11739.933628009427
2216.2162162162163,51.0,11836.162592173438
2234.2342342342345,51.0,11932.391556337448
2252.252252252252,51.0,12028.62052050146
